MULakeNumber,waterBody,Latitude_waterBody,Longitude_waterBody,Hylak_id,ecoregionID,EPA_L3NAME,waterbody_elevation,waterbody_area_km2,waterbody_perimeter_km,waterbody_elongation_ratio,watershed_area_km2,watershed_perimeter_km,watershed_elongation_ratio,landCover
179,Nodaway_County,40.43,-94.86,1055604,6,Western Corn Belt Plains,321,0.500449036,4.888312641,0.4895,5.04246298,15.37389884,0.6876,agriculture
180,Bilby_Ranch,40.35,-95.13,1055671,6,Western Corn Belt Plains,293,0.762030634,7.192275574,0.4958,12.4317014,24.42875593,0.6737,agriculture
181,Mozingo,40.35,-94.78,112102,6,Western Corn Belt Plains,308,6.968410001,41.11450742,0.3022,92.17688084,83.44371036,0.4276,agriculture
182,Fox_Valley,40.5,-91.77,1055538,1,Central Irregular Plains,180,0.73596182,9.133542831,0.4812,8.49884781,17.20093003,0.7809,forest
183,Hazel_Hill,38.85,-93.78,1057396,1,Central Irregular Plains,225,0.420489876,4.771416313,0.5081,10.24904956,22.70225338,0.6577,agriculture
184,Manito,38.59,-92.81,1057625,3,Ozark Highlands,257,0.491892406,5.061458126,0.527,9.818925664,16.18077393,0.7924,agriculture
185,Harrison_County,40.4,-94.09,1055629,1,Central Irregular Plains,283,2.108384467,16.10854105,0.4,73.10867099,58.25196322,0.5395,agriculture
186,Carl_DiSalvo,37.73,-90.63,1058652,3,Ozark Highlands,293,1.389536543,10.27066482,0.4884,68.03601904,57.13928739,0.5531,forest
187,Belcher_Branch,39.58,-94.73,NA,6,Western Corn Belt Plains,260,0.30632258,3.864892681,0.5524,7.547544172,14.39685685,0.7473,agriculture
188,Big_Oak,36.64,-89.29,NA,4,Mississippi Alluvial Plain,92,0.205857308,1.611742524,0.9927,0.865605192,4.007980049,0.7628,wetland
189,Butler_City,38.28,-94.43,1057959,1,Central Irregular Plains,240,0.359936664,4.433064216,0.4104,13.18138614,24.80081692,0.6028,agriculture
190,Charity,40.48,-95.58,NA,6,Western Corn Belt Plains,284,0.065475118,3.353274341,0.2347,7.875389262,17.2255095,0.6091,forest
191,Indian_Creek,39.9,-93.7,1056123,1,Central Irregular Plains,239,1.369274786,13.90692846,0.4314,21.0750925,33.43293985,0.8103,mixed
192,Jo_Shelby,39.72,-93.32,NA,1,Central Irregular Plains,215,0.193816154,3.971151883,0.4762,2.079163227,8.262063687,0.7304,agriculture
193,Busch_37,38.71,-90.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Lawson_City,39.45,-94.2,NA,1,Central Irregular Plains,311,0.076933488,1.951152395,0.7395,0.967743626,5.661811958,0.6563,agriculture
195,Limpp,40.06,-94.54,NA,1,Central Irregular Plains,309,0.188558803,2.654867597,0.5256,5.974208035,11.96012883,0.8076,agriculture
196,Lone_Jack,38.89,-94.19,NA,1,Central Irregular Plains,283,0.209813985,3.655629475,0.5402,3.626371835,9.458383858,0.795,agriculture
197,Prairie,38.71,-90.69,NA,2,Interior River Valleys and Hills,165,0.148936221,2.344111933,0.5713,2.266114361,8.384491925,0.77,forest
198,Ray_County,39.31,-93.99,NA,1,Central Irregular Plains,226,0.154962256,2.822440865,0.6151,2.63504925,9.293938506,0.6315,agriculture
199,Rothwell,39.42,-92.46,NA,1,Central Irregular Plains,247,0.168781848,4.893952019,0.3779,4.702209564,12.34760303,0.7226,urban
200,Savannah_City,39.95,-94.86,NA,6,Western Corn Belt Plains,311,0.129608443,2.126407413,0.6432,4.064033981,10.39079085,0.8086,agriculture
201,Upper_Big,36.95,-89.36,1059445,4,Mississippi Alluvial Plain,67,0.633034637,4.381057758,0.4556,78.15429558,72.24413964,0.5151,agriculture
202,Whiteside,39.17,-91.01,NA,2,Interior River Valleys and Hills,225,0.152482281,2.91491777,0.534,2.045107086,8.366142752,0.7158,mixed
203,Willow_Brook,39.87,-94.38,NA,1,Central Irregular Plains,268,1.032602524,10.6475172,0.3797,19.53251058,28.79000603,0.7333,agriculture
